Event Site Name,nTags
LGRLDR - LGR - Release into the Adult Fish Ladder,49122
GRA - Lower Granite Dam Adult,48949
NA,27462
SC1 - Lower SF Clearwater R at rkm 1,2870
SFG - SF Salmon at Guard Station Br.,2842
USE - Upper Salmon River at rkm 437,2418
KRS - SF Salmon River at Krassel Cr.,2299
ICH - Ice Harbor Dam (Combined),2282
IR1 - Lower Imnaha River ISA @ km 7,1929
SC2 - Lower SF Clearwater R at rkm 2,1907
GOA - Little Goose Fish Ladder,1882
LMA - Lower Monumental Adult Ladders,1751
IR2 - Lower Imnaha River ISA @ km 10,1746
MC1 - McNary Oregon Shore Ladder,1743
UGR - Upper Grande Ronde at rkm 155,1594
BO4 - Bonneville WA Ladder Slots,1509
TD1 - The Dalles East Fish Ladder,1401
BCC - BON PH2 Corner Collector,1353
GRJ - Lower Granite Dam Juvenile,1338
WR1 - Wallowa River at river km 14,1319
USI - Upper Salmon River at rkm 460,1276
IR3 - Upper Imnaha River ISA @ km 41,1203
ESS - EFSF Salmon River at Parks Cr.,1176
BO3 - Bonneville WA Shore Ladder/AFF,1167
GOJ - Little Goose Dam Juvenile,1001
GRS - Lower Granite Dam Spillway,999
ZEN - Secesh River at Zena Cr. Ranch,991
JOC - Joseph Creek ISA @ km 3,887
TAY - Big Creek at Taylor Ranch,860
STR - SF Salmon Satellite Facility,843
LRL - Lower Lochsa River Array Site,840
JOHNSC - Johnson Creek,806
STL - Sawtooth Hatchery Adult Trap,761
MCCA - McCall Hatchery,750
SW1 - Lower Selway River Array,634
LC1 - Lower Lolo Creek at rkm 21,615
BO1 - Bonneville Bradford Is. Ladder,590
PAHH - Pahsimeroi Hatchery,577
LLR - Lower Lemhi River,569
LGR - Lower Granite Dam,565
LRU - Lochsa River Upper Site,564
LMJ - Lower Monumental Dam Juvenile,535
SAWT - Sawtooth Hatchery,481
BONAFF - BON - Adult Fish Facility,475
LC2 - Upper Lolo Creek at rkm 25,459
"VC2 - Valley Creek, Downstream Site",455
MC2 - McNary Washington Shore Ladder,444
LTR - Lower Tucannon River,443
IMNAHW - Imnaha River Weir,436
MTR - Middle Tucannon River,432
CLWH - Clearwater Hatchery,427
LOSTIW - Lostine River Weir,402
CATHEW - Catherine Creek Weir,396
SW2 - Upper Selway River Array,374
LOOH - Lookingglass Hatchery,360
BSC - Big Sheep Creek ISA at km 6,354
JDJ - John Day Dam Juvenile,334
BO2 - Bonneville Cascades Is. Ladder,333
JO1 - John Day South Fish Ladder,333
TD2 - The Dalles North Fish Ladder,327
WR2 - Wallowa River at rkm 32,325
LRW - Lemhi River Weir,311
MCJ - McNary Dam Juvenile,310
BRC - Bear Valley Adult Video Weir,308
"LAP - Lapwai Creek, near its mouth",305
"VC1 - Valley Creek, Upstream Site",281
WEN - Wenaha River Mouth,278
YFK - Yankee Fork Salmon River,276
DWL - Dworshak NFH adult trap,269
IR4 - Imnaha Weir Downstream Array,250
ACM - Asotin Creek near mouth,246
CATHEC - Catherine Creek,244
UTR - Upper Tucannon River,232
IML - Imnaha River Weir Adult Ladder,230
SALR4 - Salmon River - Pahsimeroi River to headwaters (km 489-650),227
JO2 - John Day North Fish Ladder,220
