"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Antenna ID","Antenna Group Name","Antenna Group Configuration Value","Antenna Group Sort Value","Event Site Code Value","Event Release Date Time Value","Event Date Time Value","CTH Count"
"3D9.1BF16BC198","Mark","SECTRP - Secesh River Screw Trap","10/5/2007","SECTRP - Secesh River Screw Trap","10/5/2007","NA","NA","0","NA","SECTRP","10/5/2007 1:30:00 PM","10/5/2007 10:17:00 AM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","02","VERTICAL SLOT DETECTORS","110","A1","BO1","","5/29/2010 5:12:46 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","02","VERTICAL SLOT DETECTORS","110","A1","BO1","","5/29/2010 5:12:47 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","03","VERTICAL SLOT DETECTORS","110","A1","BO1","","5/29/2010 5:08:45 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","03","VERTICAL SLOT DETECTORS","110","A1","BO1","","5/29/2010 5:08:46 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","04","VERTICAL SLOT DETECTORS","110","A1","BO1","","5/29/2010 5:06:20 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","16","B-BRANCH WEIR 50","110","C1","BO1","","5/29/2010 4:28:35 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","18","B-BRANCH WEIR 49","110","C2","BO1","","5/29/2010 4:28:04 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","1A","B-BRANCH WEIR 48","110","C3","BO1","","5/29/2010 4:26:38 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","1C","B-BRANCH WEIR 47","110","C4","BO1","","5/29/2010 4:24:17 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","1C","B-BRANCH WEIR 47","110","C4","BO1","","5/29/2010 4:24:18 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","1E","B-BRANCH WEIR 46","110","C5","BO1","","5/29/2010 4:24:10 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","1E","B-BRANCH WEIR 46","110","C5","BO1","","5/29/2010 4:24:11 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","20","B-BRANCH WEIR 45","110","C6","BO1","","5/29/2010 4:21:09 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","22","B-BRANCH WEIR 44","110","C7","BO1","","5/29/2010 4:21:00 PM","1"
"3D9.1BF16BC198","Observation","BO1 - Bonneville Bradford Is. Ladder","5/29/2010","","","24","B-BRANCH WEIR 43","110","C8","BO1","","5/29/2010 4:20:53 PM","1"
"3D9.1BF16BC198","Observation","GRA - Lower Granite Dam Adult","6/17/2010","","","02","WEIR 733","140","1","GRA","","6/17/2010 12:13:27 PM","1"
"3D9.1BF16BC198","Observation","GRA - Lower Granite Dam Adult","6/17/2010","","","04","WEIR 732","140","2","GRA","","6/17/2010 12:13:15 PM","1"
"3D9.1BF16BC198","Observation","GRA - Lower Granite Dam Adult","6/17/2010","","","06","WEIR 731","140","3","GRA","","6/17/2010 12:12:45 PM","1"
"3D9.1BF16BC198","Observation","GRA - Lower Granite Dam Adult","6/17/2010","","","07","WEIR 730","140","4","GRA","","6/17/2010 12:12:11 PM","1"
"3D9.1BF16BC198","Observation","GRA - Lower Granite Dam Adult","6/17/2010","","","12","ISO WEST","140","6","GRA","","6/17/2010 4:47:45 AM","1"
