parent,child
GRA,USE
GRA,SW1
GRA,LRL
GRA,SC1
SC1,SC2
SC2,RRT
SC2,CRT
GRA,SFG
GRA,LLR
GRA,IR1
GRA,WR1
GRA,UGR
GRA,JUL
GRA,TAY
GRA,MAR
GRA,JOC
GRA,LAP
GRA,LC1
LC1,LC2
GRA,PCA
GRA,BRC
GRA,ACM
GRA,RAPH
GRA,NFS
GRA,WEN
GRA,CLC
GRA,COC
GRA,ALPOWC
GRA,CRC
GRA,TENMC2
USE,USI
USI,STL
USI,PAHH
USI,SALEFT
USI,YFK
USI,VC2
VC2,VC1
USI,RFL
LRL,LRU
LRU,FISTRP
SFG,KRS
SFG,ZEN
SFG,ESS
SW1,SW2
EVU,KEN
EVU,LRW
EVU,HYC
EVU,AGC
EVU,WPC
EVL,BHC
IR1,IR2
IR2,IR3
IR2,BSC
IR2,LSHEEF
IR2,HORS3C
IR2,CMP
CMP,CAMP4C
WR1,WR2
WR1,BCANF
WR1,MR1
UGR,UGS
UGR,CCU
CCU,CCW
CCW,CATHEW
JUL,HLM
JUL,KHS
KHS,BBA
JUL,PCM
KRS,STR
WR2,LOSTIW
WR2,WALH
JOC,JOSEPC
IR3,IR4
IR3,GCM
IR3,CZY
IR3,MAHOGC
IR3,FREEZC
LRW,LLS
LRW,LBS
LRW,BTL
LRW,CAC
LRW,HEC
LRW,LB8
LRW,LCL
LRW,18M
LAP,MIS
LAP,SWT
ESS,JOHNSC
ESS,YPP
ACM,ASOTIC
ACM,GEORGC
HLM,EFPW
EFPW,EPR
HLM,POTRWF
ACB,AFC
ACB,CCA
BBA,BIGBEC
BBA,LBEARC
ASOTIC,ACB
BTL,BTM
IR4,IML
IML,IR5
BTM,BTU
IR5,DRY2C
IR5,GUMBTC
SWT,WEB
LLR,EVL
EVL,EVU
GRS,ALMOTC
GRS,PENAWC
LTR,MTR
MTR,UTR
UTR,TFH
GRA,GRS
GRA,LOOH
GRA,DWL
TFH,TPJ
CLC,KOOS
