site_code,n_nodes,node,matrix_col,parent_site,child_num,MPG,POP_NAME,TRT_POPID
BON,1,BON,1,TDA,1,NA,NA,NA
WindRiver,1,WindRiver,2,TDA,2,NA,NA,NA
LittleWhite,1,LittleWhite,3,TDA,3,NA,NA,NA
WhiteSalmon,1,WhiteSalmon,4,TDA,4,NA,NA,NA
HoodRiver,1,HoodRiver,5,TDA,5,NA,NA,NA
Klickitat,1,Klickitat,6,TDA,6,NA,NA,NA
TDA,1,TDA,7,JDA,1,NA,NA,NA
Deschutes,1,Deschutes,8,JDA,2,NA,NA,NA
JDA,1,JDA,9,MCN,1,NA,NA,NA
JohnDay,1,JohnDay,10,MCN,2,NA,NA,NA
Umatilla,1,Umatilla,11,MCN,3,NA,NA,NA
MCN,1,MCN,12,IHR,1,NA,NA,NA
WallaWalla,1,WallaWalla,13,IHR,2,NA,NA,NA
IHR,1,IHR,14,LMA,1,NA,NA,NA
Yakima,1,Yakima,15,IHR,3,NA,NA,NA
UpperColumbia,1,UpperColumbia,16,IHR,4,NA,NA,NA
LMA,1,LMA,17,GOA,1,Lower Snake,Tucannon River,SNTUC-s
LMA,1,LMA,17,GOA,1,NA,NA,NA
LYFE,1,LYFE,18,GOA,2,Lower Snake,Tucannon River,SNTUC-s
LTR,3,LTR_D,19,GOA,3,Lower Snake,Tucannon River,SNTUC-s
LTR,3,LTR_M,20,GOA,3,Lower Snake,Tucannon River,SNTUC-s
LTR,3,LTR_U,21,GOA,3,Lower Snake,Tucannon River,SNTUC-s
GOA,1,GOA,22,GRS,1,Lower Snake,Tucannon River,SNTUC-s
MTR,3,MTR_D,23,LTR,1,Lower Snake,Tucannon River,SNTUC-s
MTR,3,MTR_M,24,LTR,1,Lower Snake,Tucannon River,SNTUC-s
MTR,3,MTR_U,25,LTR,1,Lower Snake,Tucannon River,SNTUC-s
PENAWC,1,PENAWC,26,GRS,2,Lower Snake,Tucannon River,SNTUC-s
UTR,3,UTR_D,27,MTR,1,Lower Snake,Tucannon River,SNTUC-s
UTR,3,UTR_M,28,MTR,1,Lower Snake,Tucannon River,SNTUC-s
UTR,3,UTR_U,29,MTR,1,Lower Snake,Tucannon River,SNTUC-s
TFH,2,TFH_D,30,UTR,1,Lower Snake,Tucannon River,SNTUC-s
TFH,2,TFH_U,31,UTR,1,Lower Snake,Tucannon River,SNTUC-s
ALMOTC,1,ALMOTC,32,GRS,3,Lower Snake,Asotin Creek,SNASO-s
GRS,1,GRS,33,GRA,1,Lower Snake,Asotin Creek,SNASO-s
GRS,1,GRS,33,GRA,1,Lower Snake,Tucannon River,SNTUC-s
TPJ,2,TPJ_D,34,TFH,1,Lower Snake,Tucannon River,SNTUC-s
TPJ,2,TPJ_U,35,TFH,1,Lower Snake,Tucannon River,SNTUC-s
ALPOWC,1,ALPOWC,36,GRA,2,Lower Snake,Asotin Creek,SNASO-s
ASOTIC,1,ASOTIC,37,ACM,1,Lower Snake,Asotin Creek,SNASO-s
ACM,3,ACM_D,38,GRA,3,Lower Snake,Asotin Creek,SNASO-s
ACM,3,ACM_M,39,GRA,3,Lower Snake,Asotin Creek,SNASO-s
ACM,3,ACM_U,40,GRA,3,Lower Snake,Asotin Creek,SNASO-s
ACB,2,ACB_D,41,ASOTIC,1,Lower Snake,Asotin Creek,SNASO-s
ACB,2,ACB_U,42,ASOTIC,1,Lower Snake,Asotin Creek,SNASO-s
GEORGC,1,GEORGC,43,ACM,2,Lower Snake,Asotin Creek,SNASO-s
CCA,3,CCA_D,44,ACB,1,Lower Snake,Asotin Creek,SNASO-s
CCA,3,CCA_M,45,ACB,1,Lower Snake,Asotin Creek,SNASO-s
CCA,3,CCA_U,46,ACB,1,Lower Snake,Asotin Creek,SNASO-s
AFC,2,AFC_D,47,ACB,2,Lower Snake,Asotin Creek,SNASO-s
AFC,2,AFC_U,48,ACB,2,Lower Snake,Asotin Creek,SNASO-s
TENMC2,1,TENMC2,49,GRA,4,Lower Snake,Asotin Creek,SNASO-s
LAP,3,LAP_D,50,GRA,5,Clearwater River,Clearwater River lower mainstem,CRLMA-s
LAP,3,LAP_M,51,GRA,5,Clearwater River,Clearwater River lower mainstem,CRLMA-s
LAP,3,LAP_U,52,GRA,5,Clearwater River,Clearwater River lower mainstem,CRLMA-s
SWT,3,SWT_D,53,LAP,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
SWT,3,SWT_M,54,LAP,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
SWT,3,SWT_U,55,LAP,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
MIS,2,MIS_D,56,LAP,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
MIS,2,MIS_U,57,LAP,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
WEB,2,WEB_D,58,SWT,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
WEB,2,WEB_U,59,SWT,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
JUL,1,JUL,60,GRA,6,Clearwater River,Clearwater River lower mainstem,CRLMA-s
BIGBEC,1,BIGBEC,61,BBA,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
KHS,2,KHS_D,62,JUL,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
KHS,2,KHS_U,63,JUL,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
BBA,1,BBA,64,KHS,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
LBEARC,1,LBEARC,65,BBA,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
PCM,2,PCM_D,66,JUL,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
PCM,2,PCM_U,67,JUL,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
EFPW,1,EFPW,68,HLM,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
HLM,2,HLM_D,69,JUL,3,Clearwater River,Clearwater River lower mainstem,CRLMA-s
HLM,2,HLM_U,70,JUL,3,Clearwater River,Clearwater River lower mainstem,CRLMA-s
EPR,2,EPR_D,71,EFPW,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
EPR,2,EPR_U,72,EFPW,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
POTRWF,1,POTRWF,73,HLM,2,Clearwater River,Clearwater River lower mainstem,CRLMA-s
JA1,2,JA1_D,74,GRA,8,Clearwater River,Clearwater River lower mainstem,CRLMA-s
JA1,2,JA1_U,75,GRA,8,Clearwater River,Clearwater River lower mainstem,CRLMA-s
NPTH,1,NPTH,76,GRA,7,Clearwater River,Clearwater River lower mainstem,CRLMA-s
DWL,1,DWL,77,GRA,10,Clearwater River,North Fork Clearwater River,CRNFC-s
LC1,1,LC1,78,GRA,14,Clearwater River,Lolo Creek,CRLOL-s
LC2,1,LC2,79,LC1,1,Clearwater River,Lolo Creek,CRLOL-s
SC1,1,SC1,80,GRA,15,Clearwater River,Clearwater River lower mainstem,CRLMA-s
SC2,1,SC2,81,SC1,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
SC2,1,SC2,81,SC1,1,Clearwater River,South Fork Clearwater River,CRSFC-s
SC3,1,SC3,82,SC2,1,Clearwater River,South Fork Clearwater River,CRSFC-s
SC4,2,SC4_D,83,SC3,1,Clearwater River,South Fork Clearwater River,CRSFC-s
SC4,2,SC4_U,84,SC3,1,Clearwater River,South Fork Clearwater River,CRSFC-s
CRT,1,CRT,85,SC4,1,Clearwater River,South Fork Clearwater River,CRSFC-s
RRT,1,RRT,86,SC4,2,Clearwater River,South Fork Clearwater River,CRSFC-s
CLC,1,CLC,87,GRA,17,Clearwater River,Clearwater River lower mainstem,CRLMA-s
KOOS,1,KOOS,88,CLC,1,Clearwater River,Clearwater River lower mainstem,CRLMA-s
LRL,1,LRL,89,GRA,18,Clearwater River,Lochsa River,CRLOC-s
LRU,1,LRU,90,LRL,1,Clearwater River,Lochsa River,CRLOC-s
