"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"GRA","GRA","GRA","","","","","","","","","",""
"LAP","GRA.Clearwater.Lapwai.LAP","GRA","Clearwater","Lapwai","LAP","","","","","","",""
"MIS","GRA.Clearwater.Lapwai.LAP.MIS","GRA","Clearwater","Lapwai","LAP","MIS","","","","","",""
"SWT","GRA.Clearwater.Lapwai.LAP.SWT","GRA","Clearwater","Lapwai","LAP","SWT","","","","","",""
"WEB","GRA.Clearwater.Lapwai.LAP.SWT.WEB","GRA","Clearwater","Lapwai","LAP","SWT","WEB","","","","",""
"JUL","GRA.Clearwater.Potlatch.JUL","GRA","Clearwater","Potlatch","JUL","","","","","","",""
"KHS","GRA.Clearwater.Potlatch.JUL.KHS","GRA","Clearwater","Potlatch","JUL","KHS","","","","","",""
"LBEARC","GRA.Clearwater.Potlatch.JUL.KHS.LBEARC","GRA","Clearwater","Potlatch","JUL","KHS","LBEARC","","","","",""
"BIGBEC","GRA.Clearwater.Potlatch.JUL.KHS.BIGBEC","GRA","Clearwater","Potlatch","JUL","KHS","BIGBEC","","","","",""
"HLM","GRA.Clearwater.Potlatch.JUL.HLM","GRA","Clearwater","Potlatch","JUL","HLM","","","","","",""
"POTRWF","GRA.Clearwater.Potlatch.JUL.HLM.POTRWF","GRA","Clearwater","Potlatch","JUL","HLM","POTRWF","","","","",""
"POTREF","GRA.Clearwater.Potlatch.JUL.HLM.POTREF","GRA","Clearwater","Potlatch","JUL","HLM","POTREF","","","","",""
"PCM","GRA.Clearwater.Potlatch.JUL.PCM","GRA","Clearwater","Potlatch","JUL","PCM","","","","","",""
"LC1","GRA.Clearwater.Lolo.LC1","GRA","Clearwater","Lolo","LC1","","","","","","",""
"LC2","GRA.Clearwater.Lolo.LC1.LC2","GRA","Clearwater","Lolo","LC1","LC2","","","","","",""
"LRL","GRA.Clearwater.Lochsa.LRL","GRA","Clearwater","Lochsa","LRL","","","","","","",""
"FISTRP","GRA.Clearwater.Lochsa.LRL.FISTRP","GRA","Clearwater","Lochsa","LRL","FISTRP","","","","","",""
"SC1","GRA.Clearwater.SFClearwater.SC1","GRA","Clearwater","SFClearwater","SC1","","","","","","",""
"SC2","GRA.Clearwater.SFClearwater.SC1.SC2","GRA","Clearwater","SFClearwater","SC1","SC2","","","","","",""
"CROTRP","GRA.Clearwater.SFClearwater.SC1.SC2.CROTRP","GRA","Clearwater","SFClearwater","SC1","SC2","CROTRP","","","","",""
"CRT","GRA.Clearwater.SFClearwater.SC1.SC2.CRT","GRA","Clearwater","SFClearwater","SC1","SC2","CRT","","","","",""
"REDTRP","GRA.Clearwater.SFClearwater.SC1.SC2.REDTRP","GRA","Clearwater","SFClearwater","SC1","SC2","REDTRP","","","","",""
