"TagID","TrapDate","ObsDate","lastObsDate","BranchNum","Group","SiteID","Node","NodeOrder","Direction","Migration","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment"
"3DD.00775EB07F",2018-07-02,2018-07-02 07:12:19,2018-07-02 09:25:20,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EC8CC",2018-07-02,2018-07-02 07:50:05,2019-06-04 09:38:51,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775E54D7",2018-07-03,2018-07-03 07:18:08,2018-07-03 09:05:07,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EF382",2018-07-03,2018-07-03 07:05:57,2018-07-03 11:11:18,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775EF382",2018-07-03,2019-03-20 00:20:24,2019-03-20 00:20:24,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F3A41",2018-07-03,2018-07-03 07:03:26,2018-07-03 08:28:00,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F599F",2018-07-03,2018-07-03 06:53:17,2018-07-04 09:47:48,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F599F",2018-07-03,2019-04-03 21:01:06,2019-04-03 21:07:34,1,"Tucannon","LTR","LTR",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F599F",2018-07-03,2019-04-05 02:07:24,2019-04-19 12:40:29,1,"Tucannon","MTR","MTR",3,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F599F",2018-07-03,2019-04-20 03:02:09,2019-04-20 03:02:09,1,"Tucannon","LTR","LTR",2,"Down","Downstream",TRUE,"TRUE","FALSE",TRUE,""
"3DD.00775F6D1E",2018-07-03,2018-07-03 07:27:02,2018-07-03 11:36:46,NA,NA,"LGRLDR","GRA",1,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
"3DD.00775F6D1E",2018-07-03,2019-04-17 10:51:56,2019-04-17 10:52:17,18,"Wallowa","WR1","WR1",2,"Up","Upstream",TRUE,"TRUE","TRUE",TRUE,""
